Plate,Well,Cell Type,Stimuli,Inhibitor,Inhibitor Conc=uM,Time=min,,,p-Akt,p-cJun ,p-CREB ,p-ERK1/2,p-GSK-3a/b,p-IkBa,p-JNK,p-MEK1,p-p38,p-p70-S6K,p-p90-RSK,p-STAT2,p-STAT3 (Tyr705),p-IRS-1,p-Histone H3,p-Hsp27,p-p53 (Ser37),p-Tyk2,p-ATF-2,p-NFkB,p-p53 (Ser46),p-STAT3 (Ser727),p-STAT6
plate1,A01,U937,IL-1a,p38i,1,1440,,,12332,23847,887,5632,11625.5,2736,1848.5,19930.5,445,16378,4236,601,171,2307.5,1941,916,1112,3068,3728.5,137.5,60.5,1127.5,240
,A02,U937,IL-1a,p38i,1,480,,,11031.5,24916.5,1371,5885,16443,2623.5,2840,23195,483,18465,5514.5,803,218,1812.5,2476,1732,861,3378,3710,134,62,1040.5,223
,A03,U937,IL-1a,p38i,1,240,,,12249,24292.5,1403,5449,13547,3263.5,3054,24151.5,349,16530.5,5213,755.5,212,1672,1484,905,848,2798.5,4067,134,58,913.5,238
,.,U937,IL-1a,p38i,1,120,,,12681,24782,1172,5983,13588.5,2875.5,2583,25000.5,300,16456.5,4626,895,212,1490.5,1494,866,705,2433,3858,118,47,939,222.5
,,U937,IL-1a,p38i,1,60,,,11953,23490,1115,5593,14516,2088,2133.5,25055,257,16113,6590,676,209,1712.5,1808,978,1091,3275,3850,132,40,1000.5,208
,,U937,IL-1a,p38i,1,30,,,12431,20249,1366,6410.5,14813,1827,2010,25040.5,247,15559.5,5731,1116,258,1364,1449,936,933,3017.5,3405,138,48,915,215
,,U937,IL-1a,p38i,1,15,,,13354,20575.5,1314,5136.5,16092,2209,2122,24230,281,13299.5,4355,741.5,217,1768,1260,859,838,2547.5,3855,168,45,1009.5,191
,,U937,IL-1a,p38i,1,5,,,8816,14669,1114,5347,9981,4588,1796,23715.5,220,11489,3704.5,450,233,1132.5,1101,886,508.5,1767,2943.5,201,44,1088.5,254.5
,,U937,IL-1b,p38i,1,1440,,,6110,15687,562,3944,9620,1409,1140,18505,303.5,10039,3020.5,473.5,124,819,50.5,46.5,426,1973,4548,164,59.5,1248,250
,,U937,IL-1b,p38i,1,480,,,9455,24217,1108.5,4869,14039,2402,2151,25002.5,362,15092.5,4394,886.5,198,1527.5,1477,930.5,857.5,2950,4459,146,50,1158,260
,,U937,IL-1b,p38i,1,240,,,12397,25159,1339,5802,18696,2254,2769,19850.5,363,16220,5839,1028,215,1696,1518,1144,996,2750,3981,121,51,1093,237
